"algo","PA","run","TSS","species","AUC","species_original","n_occ"
"XGBOOST","PA2","allRun",NA,"Cordylophoracaspia",NA,"cordylophora_caspia",296
"RF","PA3","RUN1",0.904,"Cordylophoracaspia",0.986,"cordylophora_caspia",296
"MAXNET","PA3","RUN1",0.899,"Cordylophoracaspia",0.977,"cordylophora_caspia",296
"MARS","PA3","RUN1",0.786,"Cordylophoracaspia",0.979,"cordylophora_caspia",296
"GAM","PA3","RUN1",0.792,"Cordylophoracaspia",0.972,"cordylophora_caspia",296
"XGBOOST","PA3","RUN1",0.826,"Cordylophoracaspia",0.96,"cordylophora_caspia",296
"RF","PA3","RUN2",0.774,"Cordylophoracaspia",0.971,"cordylophora_caspia",296
"MAXNET","PA3","RUN2",0.74,"Cordylophoracaspia",0.968,"cordylophora_caspia",296
"MARS","PA3","RUN2",0.729,"Cordylophoracaspia",0.955,"cordylophora_caspia",296
"GAM","PA3","RUN2",0.712,"Cordylophoracaspia",0.938,"cordylophora_caspia",296
"XGBOOST","PA3","RUN2",0.774,"Cordylophoracaspia",0.961,"cordylophora_caspia",296
"RF","PA3","RUN3",0.689,"Cordylophoracaspia",0.952,"cordylophora_caspia",296
"MAXNET","PA3","RUN3",0.733,"Cordylophoracaspia",0.955,"cordylophora_caspia",296
"MARS","PA3","RUN3",0.76,"Cordylophoracaspia",0.949,"cordylophora_caspia",296
"GAM","PA3","RUN3",0.694,"Cordylophoracaspia",0.949,"cordylophora_caspia",296
"XGBOOST","PA3","RUN3",0.671,"Cordylophoracaspia",0.94,"cordylophora_caspia",296
"RF","PA3","RUN4",0.791,"Cordylophoracaspia",0.97,"cordylophora_caspia",296
"MAXNET","PA3","RUN4",0.831,"Cordylophoracaspia",0.959,"cordylophora_caspia",296
"MARS","PA3","RUN4",0.734,"Cordylophoracaspia",0.952,"cordylophora_caspia",296
"GAM","PA3","RUN4",0.751,"Cordylophoracaspia",0.95,"cordylophora_caspia",296
"XGBOOST","PA3","RUN4",0.808,"Cordylophoracaspia",0.942,"cordylophora_caspia",296
"RF","PA3","RUN5",0.701,"Cordylophoracaspia",0.925,"cordylophora_caspia",296
"MAXNET","PA3","RUN5",0.707,"Cordylophoracaspia",0.927,"cordylophora_caspia",296
"MARS","PA3","RUN5",0.645,"Cordylophoracaspia",0.902,"cordylophora_caspia",296
"GAM","PA3","RUN5",0.667,"Cordylophoracaspia",0.904,"cordylophora_caspia",296
"XGBOOST","PA3","RUN5",0.651,"Cordylophoracaspia",0.908,"cordylophora_caspia",296
"RF","PA3","allRun",NA,"Cordylophoracaspia",NA,"cordylophora_caspia",296
"MAXNET","PA3","allRun",NA,"Cordylophoracaspia",NA,"cordylophora_caspia",296
"MARS","PA3","allRun",NA,"Cordylophoracaspia",NA,"cordylophora_caspia",296
"GAM","PA3","allRun",NA,"Cordylophoracaspia",NA,"cordylophora_caspia",296
"XGBOOST","PA3","allRun",NA,"Cordylophoracaspia",NA,"cordylophora_caspia",296
"RF","allData","allRun",NA,"Cordylophoracaspia",NA,"cordylophora_caspia",296
"MAXNET","allData","allRun",NA,"Cordylophoracaspia",NA,"cordylophora_caspia",296
"MARS","allData","allRun",NA,"Cordylophoracaspia",NA,"cordylophora_caspia",296
"GAM","allData","allRun",NA,"Cordylophoracaspia",NA,"cordylophora_caspia",296
"XGBOOST","allData","allRun",NA,"Cordylophoracaspia",NA,"cordylophora_caspia",296
"RF","PA1","RUN1",0.735,"Corellaeumyota",0.938,"corella_eumyota",118
"MAXNET","PA1","RUN1",0.721,"Corellaeumyota",0.933,"corella_eumyota",118
"MARS","PA1","RUN1",0.721,"Corellaeumyota",0.911,"corella_eumyota",118
"GAM","PA1","RUN1",0.748,"Corellaeumyota",0.925,"corella_eumyota",118
"XGBOOST","PA1","RUN1",0.692,"Corellaeumyota",0.919,"corella_eumyota",118
"RF","PA1","RUN2",0.684,"Corellaeumyota",0.93,"corella_eumyota",118
"MAXNET","PA1","RUN2",0.802,"Corellaeumyota",0.949,"corella_eumyota",118
"MARS","PA1","RUN2",0.643,"Corellaeumyota",0.91,"corella_eumyota",118
"GAM","PA1","RUN2",0.541,"Corellaeumyota",0.913,"corella_eumyota",118
"XGBOOST","PA1","RUN2",0.672,"Corellaeumyota",0.899,"corella_eumyota",118
"RF","PA1","RUN3",0.761,"Corellaeumyota",0.969,"corella_eumyota",118
"MAXNET","PA1","RUN3",0.83,"Corellaeumyota",0.955,"corella_eumyota",118
"MARS","PA1","RUN3",0.786,"Corellaeumyota",0.935,"corella_eumyota",118
"GAM","PA1","RUN3",0.773,"Corellaeumyota",0.943,"corella_eumyota",118
"XGBOOST","PA1","RUN3",0.731,"Corellaeumyota",0.948,"corella_eumyota",118
"RF","PA1","RUN4",0.754,"Corellaeumyota",0.979,"corella_eumyota",118
"MAXNET","PA1","RUN4",0.841,"Corellaeumyota",0.943,"corella_eumyota",118
"MARS","PA1","RUN4",0.872,"Corellaeumyota",0.971,"corella_eumyota",118
"GAM","PA1","RUN4",0.871,"Corellaeumyota",0.949,"corella_eumyota",118
"XGBOOST","PA1","RUN4",0.827,"Corellaeumyota",0.968,"corella_eumyota",118
"RF","PA1","RUN5",0.888,"Corellaeumyota",0.969,"corella_eumyota",118
"MAXNET","PA1","RUN5",0.888,"Corellaeumyota",0.968,"corella_eumyota",118
"MARS","PA1","RUN5",0.86,"Corellaeumyota",0.941,"corella_eumyota",118
"GAM","PA1","RUN5",0.901,"Corellaeumyota",0.978,"corella_eumyota",118
"XGBOOST","PA1","RUN5",0.902,"Corellaeumyota",0.947,"corella_eumyota",118
"RF","PA1","allRun",NA,"Corellaeumyota",NA,"corella_eumyota",118
"MAXNET","PA1","allRun",NA,"Corellaeumyota",NA,"corella_eumyota",118
"MARS","PA1","allRun",NA,"Corellaeumyota",NA,"corella_eumyota",118
"GAM","PA1","allRun",NA,"Corellaeumyota",NA,"corella_eumyota",118
"XGBOOST","PA1","allRun",NA,"Corellaeumyota",NA,"corella_eumyota",118
"RF","PA2","RUN1",0.693,"Corellaeumyota",0.926,"corella_eumyota",118
"MAXNET","PA2","RUN1",0.86,"Corellaeumyota",0.963,"corella_eumyota",118
"MARS","PA2","RUN1",0.664,"Corellaeumyota",0.928,"corella_eumyota",118
"GAM","PA2","RUN1",0.707,"Corellaeumyota",0.939,"corella_eumyota",118
"XGBOOST","PA2","RUN1",0.623,"Corellaeumyota",0.913,"corella_eumyota",118
"RF","PA2","RUN2",0.756,"Corellaeumyota",0.934,"corella_eumyota",118
"MAXNET","PA2","RUN2",0.785,"Corellaeumyota",0.908,"corella_eumyota",118
"MARS","PA2","RUN2",0.743,"Corellaeumyota",0.903,"corella_eumyota",118
"GAM","PA2","RUN2",0.829,"Corellaeumyota",0.937,"corella_eumyota",118
"XGBOOST","PA2","RUN2",0.786,"Corellaeumyota",0.929,"corella_eumyota",118
"RF","PA2","RUN3",0.762,"Corellaeumyota",0.981,"corella_eumyota",118
"MAXNET","PA2","RUN3",0.845,"Corellaeumyota",0.977,"corella_eumyota",118
"MARS","PA2","RUN3",0.731,"Corellaeumyota",0.974,"corella_eumyota",118
"GAM","PA2","RUN3",0.829,"Corellaeumyota",0.979,"corella_eumyota",118
"XGBOOST","PA2","RUN3",0.86,"Corellaeumyota",0.965,"corella_eumyota",118
"RF","PA2","RUN4",0.771,"Corellaeumyota",0.948,"corella_eumyota",118
"MAXNET","PA2","RUN4",0.799,"Corellaeumyota",0.955,"corella_eumyota",118
"MARS","PA2","RUN4",0.729,"Corellaeumyota",0.913,"corella_eumyota",118
"GAM","PA2","RUN4",0.744,"Corellaeumyota",0.932,"corella_eumyota",118
"XGBOOST","PA2","RUN4",0.757,"Corellaeumyota",0.933,"corella_eumyota",118
"RF","PA2","RUN5",0.805,"Corellaeumyota",0.951,"corella_eumyota",118
"MAXNET","PA2","RUN5",0.804,"Corellaeumyota",0.939,"corella_eumyota",118
"MARS","PA2","RUN5",0.707,"Corellaeumyota",0.919,"corella_eumyota",118
"GAM","PA2","RUN5",0.846,"Corellaeumyota",0.958,"corella_eumyota",118
"XGBOOST","PA2","RUN5",0.804,"Corellaeumyota",0.933,"corella_eumyota",118
"RF","PA2","allRun",NA,"Corellaeumyota",NA,"corella_eumyota",118
"MAXNET","PA2","allRun",NA,"Corellaeumyota",NA,"corella_eumyota",118
"MARS","PA2","allRun",NA,"Corellaeumyota",NA,"corella_eumyota",118
"GAM","PA2","allRun",NA,"Corellaeumyota",NA,"corella_eumyota",118
"XGBOOST","PA2","allRun",NA,"Corellaeumyota",NA,"corella_eumyota",118
"RF","PA3","RUN1",0.652,"Corellaeumyota",0.942,"corella_eumyota",118
"MAXNET","PA3","RUN1",0.735,"Corellaeumyota",0.928,"corella_eumyota",118
"MARS","PA3","RUN1",0.874,"Corellaeumyota",0.959,"corella_eumyota",118
"GAM","PA3","RUN1",0.818,"Corellaeumyota",0.946,"corella_eumyota",118
"XGBOOST","PA3","RUN1",0.54,"Corellaeumyota",0.903,"corella_eumyota",118
"RF","PA3","RUN2",0.742,"Corellaeumyota",0.96,"corella_eumyota",118
"MAXNET","PA3","RUN2",0.785,"Corellaeumyota",0.95,"corella_eumyota",118
"MARS","PA3","RUN2",0.684,"Corellaeumyota",0.879,"corella_eumyota",118
"GAM","PA3","RUN2",0.715,"Corellaeumyota",0.934,"corella_eumyota",118
"XGBOOST","PA3","RUN2",0.786,"Corellaeumyota",0.93,"corella_eumyota",118
"RF","PA3","RUN3",0.874,"Corellaeumyota",0.953,"corella_eumyota",118
"MAXNET","PA3","RUN3",0.86,"Corellaeumyota",0.938,"corella_eumyota",118
"MARS","PA3","RUN3",0.804,"Corellaeumyota",0.956,"corella_eumyota",118
"GAM","PA3","RUN3",0.831,"Corellaeumyota",0.959,"corella_eumyota",118
"XGBOOST","PA3","RUN3",0.789,"Corellaeumyota",0.95,"corella_eumyota",118
"RF","PA3","RUN4",0.697,"Corellaeumyota",0.965,"corella_eumyota",118
"MAXNET","PA3","RUN4",0.799,"Corellaeumyota",0.977,"corella_eumyota",118
"MARS","PA3","RUN4",0.771,"Corellaeumyota",0.966,"corella_eumyota",118
"GAM","PA3","RUN4",0.799,"Corellaeumyota",0.973,"corella_eumyota",118
"XGBOOST","PA3","RUN4",0.669,"Corellaeumyota",0.947,"corella_eumyota",118
"RF","PA3","RUN5",0.887,"Corellaeumyota",0.974,"corella_eumyota",118
"MAXNET","PA3","RUN5",0.887,"Corellaeumyota",0.985,"corella_eumyota",118
"MARS","PA3","RUN5",0.831,"Corellaeumyota",0.974,"corella_eumyota",118
"GAM","PA3","RUN5",0.859,"Corellaeumyota",0.967,"corella_eumyota",118
"XGBOOST","PA3","RUN5",0.887,"Corellaeumyota",0.945,"corella_eumyota",118
"RF","PA3","allRun",NA,"Corellaeumyota",NA,"corella_eumyota",118
"MAXNET","PA3","allRun",NA,"Corellaeumyota",NA,"corella_eumyota",118
"MARS","PA3","allRun",NA,"Corellaeumyota",NA,"corella_eumyota",118
"GAM","PA3","allRun",NA,"Corellaeumyota",NA,"corella_eumyota",118
"XGBOOST","PA3","allRun",NA,"Corellaeumyota",NA,"corella_eumyota",118
"RF","allData","allRun",NA,"Corellaeumyota",NA,"corella_eumyota",118
"MAXNET","allData","allRun",NA,"Corellaeumyota",NA,"corella_eumyota",118
"MARS","allData","allRun",NA,"Corellaeumyota",NA,"corella_eumyota",118
"GAM","allData","allRun",NA,"Corellaeumyota",NA,"corella_eumyota",118
"XGBOOST","allData","allRun",NA,"Corellaeumyota",NA,"corella_eumyota",118
"RF","PA1","RUN1",0.843,"Crepidulafornicata",0.976,"crepidula_fornicata",829
"MAXNET","PA1","RUN1",0.827,"Crepidulafornicata",0.969,"crepidula_fornicata",829
"MARS","PA1","RUN1",0.849,"Crepidulafornicata",0.968,"crepidula_fornicata",829
"GAM","PA1","RUN1",0.825,"Crepidulafornicata",0.949,"crepidula_fornicata",829
"XGBOOST","PA1","RUN1",0.755,"Crepidulafornicata",0.933,"crepidula_fornicata",829
"RF","PA1","RUN2",0.849,"Crepidulafornicata",0.979,"crepidula_fornicata",829
"MAXNET","PA1","RUN2",0.849,"Crepidulafornicata",0.97,"crepidula_fornicata",829
"MARS","PA1","RUN2",0.819,"Crepidulafornicata",0.968,"crepidula_fornicata",829
"GAM","PA1","RUN2",0.821,"Crepidulafornicata",0.96,"crepidula_fornicata",829
"XGBOOST","PA1","RUN2",0.793,"Crepidulafornicata",0.949,"crepidula_fornicata",829
"RF","PA1","RUN3",0.847,"Crepidulafornicata",0.985,"crepidula_fornicata",829
"MAXNET","PA1","RUN3",0.806,"Crepidulafornicata",0.974,"crepidula_fornicata",829
"MARS","PA1","RUN3",0.807,"Crepidulafornicata",0.974,"crepidula_fornicata",829
"GAM","PA1","RUN3",0.768,"Crepidulafornicata",0.956,"crepidula_fornicata",829
"XGBOOST","PA1","RUN3",0.734,"Crepidulafornicata",0.944,"crepidula_fornicata",829
"RF","PA1","RUN4",0.891,"Crepidulafornicata",0.985,"crepidula_fornicata",829
"MAXNET","PA1","RUN4",0.851,"Crepidulafornicata",0.981,"crepidula_fornicata",829
"MARS","PA1","RUN4",0.845,"Crepidulafornicata",0.98,"crepidula_fornicata",829
"GAM","PA1","RUN4",0.821,"Crepidulafornicata",0.967,"crepidula_fornicata",829
"XGBOOST","PA1","RUN4",0.783,"Crepidulafornicata",0.951,"crepidula_fornicata",829
"RF","PA1","RUN5",0.835,"Crepidulafornicata",0.977,"crepidula_fornicata",829
"MAXNET","PA1","RUN5",0.771,"Crepidulafornicata",0.959,"crepidula_fornicata",829
"MARS","PA1","RUN5",0.799,"Crepidulafornicata",0.96,"crepidula_fornicata",829
"GAM","PA1","RUN5",0.769,"Crepidulafornicata",0.946,"crepidula_fornicata",829
"XGBOOST","PA1","RUN5",0.767,"Crepidulafornicata",0.937,"crepidula_fornicata",829
"RF","PA1","allRun",NA,"Crepidulafornicata",NA,"crepidula_fornicata",829
"MAXNET","PA1","allRun",NA,"Crepidulafornicata",NA,"crepidula_fornicata",829
"MARS","PA1","allRun",NA,"Crepidulafornicata",NA,"crepidula_fornicata",829
"GAM","PA1","allRun",NA,"Crepidulafornicata",NA,"crepidula_fornicata",829
"XGBOOST","PA1","allRun",NA,"Crepidulafornicata",NA,"crepidula_fornicata",829
"RF","PA2","RUN1",0.871,"Crepidulafornicata",0.976,"crepidula_fornicata",829
"MAXNET","PA2","RUN1",0.801,"Crepidulafornicata",0.962,"crepidula_fornicata",829
"MARS","PA2","RUN1",0.779,"Crepidulafornicata",0.954,"crepidula_fornicata",829
"GAM","PA2","RUN1",0.773,"Crepidulafornicata",0.952,"crepidula_fornicata",829
"XGBOOST","PA2","RUN1",0.747,"Crepidulafornicata",0.934,"crepidula_fornicata",829
"RF","PA2","RUN2",0.855,"Crepidulafornicata",0.986,"crepidula_fornicata",829
"MAXNET","PA2","RUN2",0.845,"Crepidulafornicata",0.979,"crepidula_fornicata",829
"MARS","PA2","RUN2",0.849,"Crepidulafornicata",0.974,"crepidula_fornicata",829
"GAM","PA2","RUN2",0.825,"Crepidulafornicata",0.974,"crepidula_fornicata",829
"XGBOOST","PA2","RUN2",0.811,"Crepidulafornicata",0.963,"crepidula_fornicata",829
"RF","PA2","RUN3",0.885,"Crepidulafornicata",0.986,"crepidula_fornicata",829
"MAXNET","PA2","RUN3",0.861,"Crepidulafornicata",0.98,"crepidula_fornicata",829
"MARS","PA2","RUN3",0.839,"Crepidulafornicata",0.978,"crepidula_fornicata",829
"GAM","PA2","RUN3",0.823,"Crepidulafornicata",0.957,"crepidula_fornicata",829
"XGBOOST","PA2","RUN3",0.78,"Crepidulafornicata",0.951,"crepidula_fornicata",829
"RF","PA2","RUN4",0.835,"Crepidulafornicata",0.978,"crepidula_fornicata",829
"MAXNET","PA2","RUN4",0.795,"Crepidulafornicata",0.961,"crepidula_fornicata",829
"MARS","PA2","RUN4",0.781,"Crepidulafornicata",0.962,"crepidula_fornicata",829
"GAM","PA2","RUN4",0.783,"Crepidulafornicata",0.956,"crepidula_fornicata",829
"XGBOOST","PA2","RUN4",0.765,"Crepidulafornicata",0.938,"crepidula_fornicata",829
"RF","PA2","RUN5",0.859,"Crepidulafornicata",0.979,"crepidula_fornicata",829
"MAXNET","PA2","RUN5",0.811,"Crepidulafornicata",0.97,"crepidula_fornicata",829
"MARS","PA2","RUN5",0.799,"Crepidulafornicata",0.968,"crepidula_fornicata",829
"GAM","PA2","RUN5",0.803,"Crepidulafornicata",0.954,"crepidula_fornicata",829
"XGBOOST","PA2","RUN5",0.773,"Crepidulafornicata",0.948,"crepidula_fornicata",829
"RF","PA2","allRun",NA,"Crepidulafornicata",NA,"crepidula_fornicata",829
"MAXNET","PA2","allRun",NA,"Crepidulafornicata",NA,"crepidula_fornicata",829
"MARS","PA2","allRun",NA,"Crepidulafornicata",NA,"crepidula_fornicata",829
"GAM","PA2","allRun",NA,"Crepidulafornicata",NA,"crepidula_fornicata",829
"XGBOOST","PA2","allRun",NA,"Crepidulafornicata",NA,"crepidula_fornicata",829
"RF","PA3","RUN1",0.831,"Crepidulafornicata",0.981,"crepidula_fornicata",829
"MAXNET","PA3","RUN1",0.803,"Crepidulafornicata",0.968,"crepidula_fornicata",829
"MARS","PA3","RUN1",0.823,"Crepidulafornicata",0.973,"crepidula_fornicata",829
"GAM","PA3","RUN1",0.769,"Crepidulafornicata",0.953,"crepidula_fornicata",829
"XGBOOST","PA3","RUN1",0.787,"Crepidulafornicata",0.952,"crepidula_fornicata",829
"RF","PA3","RUN2",0.829,"Crepidulafornicata",0.973,"crepidula_fornicata",829
"MAXNET","PA3","RUN2",0.831,"Crepidulafornicata",0.967,"crepidula_fornicata",829
"MARS","PA3","RUN2",0.829,"Crepidulafornicata",0.963,"crepidula_fornicata",829
"GAM","PA3","RUN2",0.811,"Crepidulafornicata",0.952,"crepidula_fornicata",829
"XGBOOST","PA3","RUN2",0.725,"Crepidulafornicata",0.938,"crepidula_fornicata",829
"RF","PA3","RUN3",0.875,"Crepidulafornicata",0.986,"crepidula_fornicata",829
"MAXNET","PA3","RUN3",0.759,"Crepidulafornicata",0.959,"crepidula_fornicata",829
"MARS","PA3","RUN3",0.789,"Crepidulafornicata",0.966,"crepidula_fornicata",829
"GAM","PA3","RUN3",0.746,"Crepidulafornicata",0.944,"crepidula_fornicata",829
"XGBOOST","PA3","RUN3",0.765,"Crepidulafornicata",0.938,"crepidula_fornicata",829
"RF","PA3","RUN4",0.851,"Crepidulafornicata",0.981,"crepidula_fornicata",829
"MAXNET","PA3","RUN4",0.817,"Crepidulafornicata",0.971,"crepidula_fornicata",829
"MARS","PA3","RUN4",0.807,"Crepidulafornicata",0.964,"crepidula_fornicata",829
"GAM","PA3","RUN4",0.779,"Crepidulafornicata",0.953,"crepidula_fornicata",829
"XGBOOST","PA3","RUN4",0.737,"Crepidulafornicata",0.946,"crepidula_fornicata",829
"RF","PA3","RUN5",0.885,"Crepidulafornicata",0.981,"crepidula_fornicata",829
"MAXNET","PA3","RUN5",0.823,"Crepidulafornicata",0.971,"crepidula_fornicata",829
"MARS","PA3","RUN5",0.835,"Crepidulafornicata",0.967,"crepidula_fornicata",829
"GAM","PA3","RUN5",0.793,"Crepidulafornicata",0.956,"crepidula_fornicata",829
"XGBOOST","PA3","RUN5",0.765,"Crepidulafornicata",0.951,"crepidula_fornicata",829
"RF","PA3","allRun",NA,"Crepidulafornicata",NA,"crepidula_fornicata",829
"MAXNET","PA3","allRun",NA,"Crepidulafornicata",NA,"crepidula_fornicata",829
"MARS","PA3","allRun",NA,"Crepidulafornicata",NA,"crepidula_fornicata",829
"GAM","PA3","allRun",NA,"Crepidulafornicata",NA,"crepidula_fornicata",829
"XGBOOST","PA3","allRun",NA,"Crepidulafornicata",NA,"crepidula_fornicata",829
"RF","allData","allRun",NA,"Crepidulafornicata",NA,"crepidula_fornicata",829
"MAXNET","allData","allRun",NA,"Crepidulafornicata",NA,"crepidula_fornicata",829
"MARS","allData","allRun",NA,"Crepidulafornicata",NA,"crepidula_fornicata",829
"GAM","allData","allRun",NA,"Crepidulafornicata",NA,"crepidula_fornicata",829
"XGBOOST","allData","allRun",NA,"Crepidulafornicata",NA,"crepidula_fornicata",829
"RF","PA1","RUN1",0.809,"Cutleriamultifida",0.959,"cutleria_multifida",174
"MAXNET","PA1","RUN1",0.875,"Cutleriamultifida",0.965,"cutleria_multifida",174
"MARS","PA1","RUN1",0.875,"Cutleriamultifida",0.967,"cutleria_multifida",174
"GAM","PA1","RUN1",0.789,"Cutleriamultifida",0.914,"cutleria_multifida",174
"XGBOOST","PA1","RUN1",0.789,"Cutleriamultifida",0.935,"cutleria_multifida",174
"RF","PA1","RUN2",0.695,"Cutleriamultifida",0.942,"cutleria_multifida",174
"MAXNET","PA1","RUN2",0.79,"Cutleriamultifida",0.943,"cutleria_multifida",174
"MARS","PA1","RUN2",0.762,"Cutleriamultifida",0.914,"cutleria_multifida",174
"GAM","PA1","RUN2",0.781,"Cutleriamultifida",0.938,"cutleria_multifida",174
"XGBOOST","PA1","RUN2",0.724,"Cutleriamultifida",0.925,"cutleria_multifida",174
"RF","PA1","RUN3",0.756,"Cutleriamultifida",0.957,"cutleria_multifida",174
"MAXNET","PA1","RUN3",0.786,"Cutleriamultifida",0.963,"cutleria_multifida",174
"MARS","PA1","RUN3",0.864,"Cutleriamultifida",0.96,"cutleria_multifida",174
"GAM","PA1","RUN3",0.806,"Cutleriamultifida",0.956,"cutleria_multifida",174
"XGBOOST","PA1","RUN3",0.796,"Cutleriamultifida",0.966,"cutleria_multifida",174
"RF","PA1","RUN4",0.743,"Cutleriamultifida",0.898,"cutleria_multifida",174
"MAXNET","PA1","RUN4",0.714,"Cutleriamultifida",0.907,"cutleria_multifida",174
"MARS","PA1","RUN4",0.676,"Cutleriamultifida",0.895,"cutleria_multifida",174
"GAM","PA1","RUN4",0.695,"Cutleriamultifida",0.89,"cutleria_multifida",174
"XGBOOST","PA1","RUN4",0.562,"Cutleriamultifida",0.869,"cutleria_multifida",174
"RF","PA1","RUN5",0.752,"Cutleriamultifida",0.966,"cutleria_multifida",174
"MAXNET","PA1","RUN5",0.847,"Cutleriamultifida",0.964,"cutleria_multifida",174
"MARS","PA1","RUN5",0.79,"Cutleriamultifida",0.945,"cutleria_multifida",174
"GAM","PA1","RUN5",0.904,"Cutleriamultifida",0.959,"cutleria_multifida",174
"XGBOOST","PA1","RUN5",0.827,"Cutleriamultifida",0.943,"cutleria_multifida",174
"RF","PA1","allRun",NA,"Cutleriamultifida",NA,"cutleria_multifida",174
"MAXNET","PA1","allRun",NA,"Cutleriamultifida",NA,"cutleria_multifida",174
"MARS","PA1","allRun",NA,"Cutleriamultifida",NA,"cutleria_multifida",174
"GAM","PA1","allRun",NA,"Cutleriamultifida",NA,"cutleria_multifida",174
"XGBOOST","PA1","allRun",NA,"Cutleriamultifida",NA,"cutleria_multifida",174
"RF","PA2","RUN1",0.59,"Cutleriamultifida",0.939,"cutleria_multifida",174
"MAXNET","PA2","RUN1",0.751,"Cutleriamultifida",0.931,"cutleria_multifida",174
"MARS","PA2","RUN1",0.751,"Cutleriamultifida",0.927,"cutleria_multifida",174
"GAM","PA2","RUN1",0.675,"Cutleriamultifida",0.93,"cutleria_multifida",174
"XGBOOST","PA2","RUN1",0.741,"Cutleriamultifida",0.936,"cutleria_multifida",174
"RF","PA2","RUN2",0.8,"Cutleriamultifida",0.974,"cutleria_multifida",174
"MAXNET","PA2","RUN2",0.848,"Cutleriamultifida",0.956,"cutleria_multifida",174
"MARS","PA2","RUN2",0.686,"Cutleriamultifida",0.926,"cutleria_multifida",174
"GAM","PA2","RUN2",0.771,"Cutleriamultifida",0.95,"cutleria_multifida",174
"XGBOOST","PA2","RUN2",0.714,"Cutleriamultifida",0.924,"cutleria_multifida",174
"RF","PA2","RUN3",0.815,"Cutleriamultifida",0.939,"cutleria_multifida",174
"MAXNET","PA2","RUN3",0.767,"Cutleriamultifida",0.939,"cutleria_multifida",174
"MARS","PA2","RUN3",0.787,"Cutleriamultifida",0.941,"cutleria_multifida",174
"GAM","PA2","RUN3",0.758,"Cutleriamultifida",0.94,"cutleria_multifida",174
"XGBOOST","PA2","RUN3",0.777,"Cutleriamultifida",0.92,"cutleria_multifida",174
"RF","PA2","RUN4",0.829,"Cutleriamultifida",0.964,"cutleria_multifida",174
"MAXNET","PA2","RUN4",0.771,"Cutleriamultifida",0.97,"cutleria_multifida",174
"MARS","PA2","RUN4",0.781,"Cutleriamultifida",0.95,"cutleria_multifida",174
"GAM","PA2","RUN4",0.876,"Cutleriamultifida",0.968,"cutleria_multifida",174
"XGBOOST","PA2","RUN4",0.8,"Cutleriamultifida",0.923,"cutleria_multifida",174
"RF","PA2","RUN5",0.856,"Cutleriamultifida",0.949,"cutleria_multifida",174
"MAXNET","PA2","RUN5",0.79,"Cutleriamultifida",0.958,"cutleria_multifida",174
"MARS","PA2","RUN5",0.827,"Cutleriamultifida",0.955,"cutleria_multifida",174
"GAM","PA2","RUN5",0.809,"Cutleriamultifida",0.94,"cutleria_multifida",174
"XGBOOST","PA2","RUN5",0.723,"Cutleriamultifida",0.938,"cutleria_multifida",174
"RF","PA2","allRun",NA,"Cutleriamultifida",NA,"cutleria_multifida",174
"MAXNET","PA2","allRun",NA,"Cutleriamultifida",NA,"cutleria_multifida",174
"MARS","PA2","allRun",NA,"Cutleriamultifida",NA,"cutleria_multifida",174
"GAM","PA2","allRun",NA,"Cutleriamultifida",NA,"cutleria_multifida",174
"XGBOOST","PA2","allRun",NA,"Cutleriamultifida",NA,"cutleria_multifida",174
"RF","PA3","RUN1",0.761,"Cutleriamultifida",0.969,"cutleria_multifida",174
"MAXNET","PA3","RUN1",0.751,"Cutleriamultifida",0.967,"cutleria_multifida",174
"MARS","PA3","RUN1",0.761,"Cutleriamultifida",0.958,"cutleria_multifida",174
"GAM","PA3","RUN1",0.808,"Cutleriamultifida",0.951,"cutleria_multifida",174
"XGBOOST","PA3","RUN1",0.79,"Cutleriamultifida",0.938,"cutleria_multifida",174
"RF","PA3","RUN2",0.762,"Cutleriamultifida",0.946,"cutleria_multifida",174
"MAXNET","PA3","RUN2",0.79,"Cutleriamultifida",0.932,"cutleria_multifida",174
"MARS","PA3","RUN2",0.8,"Cutleriamultifida",0.933,"cutleria_multifida",174
"GAM","PA3","RUN2",0.781,"Cutleriamultifida",0.927,"cutleria_multifida",174
"XGBOOST","PA3","RUN2",0.762,"Cutleriamultifida",0.917,"cutleria_multifida",174
"RF","PA3","RUN3",0.786,"Cutleriamultifida",0.94,"cutleria_multifida",174
"MAXNET","PA3","RUN3",0.766,"Cutleriamultifida",0.94,"cutleria_multifida",174
"MARS","PA3","RUN3",0.777,"Cutleriamultifida",0.929,"cutleria_multifida",174
"GAM","PA3","RUN3",0.777,"Cutleriamultifida",0.935,"cutleria_multifida",174
"XGBOOST","PA3","RUN3",0.718,"Cutleriamultifida",0.908,"cutleria_multifida",174
"RF","PA3","RUN4",0.8,"Cutleriamultifida",0.964,"cutleria_multifida",174
"MAXNET","PA3","RUN4",0.8,"Cutleriamultifida",0.97,"cutleria_multifida",174
"MARS","PA3","RUN4",0.8,"Cutleriamultifida",0.966,"cutleria_multifida",174
"GAM","PA3","RUN4",0.686,"Cutleriamultifida",0.927,"cutleria_multifida",174
"XGBOOST","PA3","RUN4",0.781,"Cutleriamultifida",0.935,"cutleria_multifida",174
"RF","PA3","RUN5",0.704,"Cutleriamultifida",0.95,"cutleria_multifida",174
"MAXNET","PA3","RUN5",0.751,"Cutleriamultifida",0.934,"cutleria_multifida",174
"MARS","PA3","RUN5",0.704,"Cutleriamultifida",0.913,"cutleria_multifida",174
